Company,Cpu,Ram,Weight,Price
Apple,Intel Core i5 2.3GHz,8,1.37,3568.934
Apple,Intel Core i5 1.8GHz,8,1.34,2394.776
HP,Intel Core i5 7200U 2.5GHz,8,1.86,1531.8
Apple,Intel Core i7 2.7GHz,16,1.83,6759.767
Apple,Intel Core i5 3.1GHz,8,1.37,4804.79
Acer,AMD A9-Series 9420 3GHz,4,2.1,1065.6
Apple,Intel Core i7 2.2GHz,16,2.04,5700.88
Apple,Intel Core i5 1.8GHz,8,1.34,3086.777
Asus,Intel Core i7 8550U 1.8GHz,16,1.3,3982.68
Acer,Intel Core i5 8250U 1.6GHz,8,1.6,2051.28
HP,Intel Core i5 7200U 2.5GHz,4,1.86,1049.35
HP,Intel Core i3 6006U 2GHz,4,1.86,919.0534
Apple,Intel Core i7 2.8GHz,16,1.83,6500.08
Dell,Intel Core i3 6006U 2GHz,4,2.2,1329.07
Apple,Intel Core M m3 1.2GHz,8,0.92,3363.034
Apple,Intel Core i5 2.3GHz,8,1.37,4045.417
Dell,Intel Core i7 7500U 2.7GHz,8,2.2,1984.68
Apple,Intel Core i7 2.9GHz,16,1.83,7613.712
Lenovo,Intel Core i3 7100U 2.4GHz,8,2.2,1329.336
Dell,Intel Core i5 8250U 1.6GHz,8,1.22,2608.056
Asus,Intel Atom x5-Z8350 1.44GHz,2,0.98,511.2216
Lenovo,Intel Core i5 7300HQ 2.5GHz,8,2.5,2661.336
HP,AMD E-Series E2-9000e 1.5GHz,4,1.86,687.312
Dell,Intel Core i5 8250U 1.6GHz,8,1.62,2181.816
HP,Intel Core i7 8550U 1.8GHz,8,1.91,1755.576
Dell,Intel Core i3 6006U 2GHz,4,2.3,1115.257
Apple,Intel Core i5 1.6GHz,8,1.35,2927.736
Dell,Intel Core i5 8250U 1.6GHz,8,2.2,2131.2
Dell,Intel Core i7 8650U 1.9GHz,8,1.88,3457.872
HP,Intel Core i5 8250U 1.6GHz,8,2.5,2386.944
Chuwi,Intel Atom x5-Z8300 1.44GHz,4,1.89,652.6534
Asus,AMD E-Series E2-6110 1.5GHz,2,1.65,530.136
HP,AMD A6-Series 9220 2.5GHz,4,2.71,1169.496
Dell,Intel Core i7 8550U 1.8GHz,16,1.2,4979.016
Apple,Intel Core i5 1.6GHz,8,1.35,2658.672
Lenovo,Intel Celeron Dual Core N3350 1.1GHz,4,1.44,663.336
Acer,Intel Core i3 7130U 2.7GHz,4,2.1,977.688
Dell,Intel Core i5 8250U 1.6GHz,8,2.8,2608.056
HP,Intel Core i5 7200U 2.5GHz,4,1.86,1301.87
HP,Intel Core i5 8250U 1.6GHz,8,2.1,2341.656
Asus,Intel Core i3 6006U 2GHz,4,2,1036.296
Dell,Intel Core i7 7700HQ 2.8GHz,16,2.65,3993.336
Asus,Intel Core i5 7200U 2.5GHz,8,2.3,1393.245
Acer,Intel Core i5 8250U 1.6GHz,4,2.2,1816.848
Dell,Intel Core i5 8250U 1.6GHz,12,2.77,2661.336
Apple,Intel Core i5 2.0GHz,8,1.37,3780.216
Lenovo,Intel Core i3 6006U 2GHz,4,2.2,983.016
Asus,AMD Ryzen 1700 3GHz,8,3.2,3460.536
Dell,Intel Core i5 7200U 2.5GHz,4,2.3,1702.296
Asus,Intel Pentium Quad Core N4200 1.1GHz,4,2.8,1241.424
Lenovo,Intel Atom x5-Z8550 1.44GHz,4,0.69,849.816
Acer,Intel Core i7 8550U 1.8GHz,8,2.2,2240.424
HP,AMD A6-Series 9220 2.5GHz,4,1.86,1061.577
HP,Intel Core i7 8550U 1.8GHz,8,1.49,2938.392
Acer,Intel Core i3 7100U 2.4GHz,4,2.4,1022.976
Dell,Intel Core i7 8550U 1.8GHz,8,2.13,2045.419
HP,Intel Core i3 6006U 2GHz,4,1.91,1169.496
Asus,Intel Core i5 7200U 2.5GHz,4,2,1561.61
MSI,Intel Core i7 7700HQ 2.8GHz,16,2.43,6524.136
Asus,Intel Core i3 6006U 2GHz,4,2,1105.56
Dell,Intel Core i7 8550U 1.8GHz,16,2.8,3460.536
Dell,Intel Core i5 8250U 1.6GHz,8,1.7,2341.656
Lenovo,Intel Core i3 7130U 2.7GHz,8,1.7,1595.736
Asus,Intel Core i5 8250U 1.6GHz,8,1.4,2506.824
HP,Intel Core i5 7200U 2.5GHz,8,1.86,1838.16
Asus,Intel Core i7 7700HQ 2.8GHz,16,1.8,5282.712
HP,Intel Core i3 6006U 2GHz,4,1.86,1168.67
HP,Intel Celeron Dual Core N3060 1.6GHz,4,1.44,610.056
Lenovo,Intel Core i5 7200U 2.5GHz,4,1.9,1462.536
Asus,Intel Core i7 7700HQ 2.8GHz,12,3,2528.136
Microsoft,Intel Core i5 7200U 2.5GHz,4,1.25,2901.096
Dell,Intel Core i7 8550U 1.8GHz,8,1.4,2544.12
Dell,Intel Core i7 8550U 1.8GHz,8,2.2,2317.68
MSI,Intel Core i5 7300HQ 2.5GHz,8,2.7,2917.08
Acer,Intel Core i3 6006U 2GHz,8,2.1,1036.296
Asus,Intel Core i7 7700HQ 2.8GHz,8,2.2,2528.136
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.2,1382.616
Dell,Intel Core i7 8550U 1.8GHz,8,2.02,2277.72
Acer,Intel Core i3 7130U 2.7GHz,4,2.2,1411.92
HP,Intel Core i5 8250U 1.6GHz,8,2.5,2602.728
Dell,Intel Core i5 8250U 1.6GHz,8,1.88,2920.17
Apple,Intel Core i5 1.3GHz,8,0.92,4022.64
HP,Intel Core i5 8250U 1.6GHz,8,1.63,2291.04
Lenovo,AMD A6-Series 9220 2.5GHz,4,2.2,1062.936
Acer,AMD A9-Series 9420 3GHz,4,2.1,1052.28
Dell,Intel Core i7 7700HQ 2.8GHz,16,2.65,3593.736
HP,Intel Core i7 8550U 1.8GHz,8,1.83,1862.136
HP,Intel Core i5 7200U 2.5GHz,8,1.96,1595.709
Asus,Intel Core i7 7700HQ 2.8GHz,16,2.2,3860.136
Dell,Intel Core i7 8550U 1.8GHz,8,1.21,4392.936
Asus,AMD FX 9830P 3GHz,8,2.45,1862.136
Acer,Intel Core i7 8550U 1.8GHz,8,2.2,1835.496
HP,Intel Core i7 8550U 1.8GHz,16,1.49,3188.808
Dell,Intel Core i5 7300HQ 2.5GHz,8,2.65,3183.48
Asus,Intel Core i7 7500U 2.7GHz,8,1.25,2794.536
Acer,Intel Core i5 8250U 1.6GHz,8,1.5,2256.408
Dell,Intel Core i7 7500U 2.7GHz,8,2.2,1598.134
Dell,Intel Core i3 6006U 2GHz,4,2.2,1292.04
Asus,Intel Core i3 7100U 2.4GHz,6,2,1537.128
HP,Intel Core i7 7700HQ 2.8GHz,12,2.62,3327.336
HP,Intel Core i7 7500U 2.7GHz,8,1.91,1915.416
HP,AMD E-Series E2-9000e 1.5GHz,4,2.1,929.736
Dell,Intel Core i5 8250U 1.6GHz,8,2.2,1723.608
HP,Intel Core i7 7500U 2.7GHz,8,1.38,2981.016
Microsoft,Intel Core i5 7200U 2.5GHz,8,1.25,3569.76
HP,Intel Core i5 7200U 2.5GHz,6,1.58,1755.576
Lenovo,Intel Core i3 6006U 2GHz,4,1.85,1105.294
Asus,Intel Core i7 7500U 2.7GHz,8,1.3,3178.152
MSI,Intel Core i7 7700HQ 2.8GHz,16,2.2,3460.536
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.58,3942.72
Asus,Intel Core i7 8550U 1.8GHz,16,1.5,3361.968
Dell,Intel Core i7 7560U 2.4GHz,8,1.23,3673.656
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.37,3726.936
HP,Intel Core i5 8250U 1.6GHz,4,1.63,1923.408
Dell,Intel Core i5 8250U 1.6GHz,8,1.21,4339.656
HP,Intel Core i5 8250U 1.6GHz,8,1.26,3726.909
HP,Intel Core i7 8550U 1.8GHz,8,1.63,2887.776
Dell,Intel Core i7 8550U 1.8GHz,8,2.16,3011.199
Asus,Intel Core i3 6006U 2GHz,4,2,1502.496
Asus,Intel Core i7 8550U 1.8GHz,8,1.7,2978.352
Acer,Intel Core i3 7100U 2.4GHz,6,2.1,1276.056
MSI,Intel Core i7 7700HQ 2.8GHz,16,1.8,5971.356
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.2,1675.656
HP,Intel Core i7 8550U 1.8GHz,16,2.5,3385.944
Acer,AMD A9-Series 9420 3GHz,4,2.1,1201.464
HP,Intel Celeron Dual Core N3060 1.6GHz,4,1.86,689.976
HP,Intel Core i5 8250U 1.6GHz,8,1.63,2163.168
Asus,AMD E-Series 6110 1.5GHz,4,1.65,740.5654
Dell,Intel Core i7 8550U 1.8GHz,16,2.8,3718.944
HP,Intel Core i5 8250U 1.6GHz,8,2.5,2472.192
Dell,Intel Core i5 7200U 2.5GHz,8,2.36,1702.269
Dell,Intel Core i3 6006U 2GHz,4,2.2,1196.136
Acer,Intel Core i7 8550U 1.8GHz,8,1.6,2354.976
Acer,Intel Core i3 7130U 2.7GHz,4,2.2,1523.808
HP,Intel Core i7 7500U 2.7GHz,8,2.05,1593.072
HP,Intel Core i7 8550U 1.8GHz,8,1.63,2632.032
Lenovo,Intel Celeron Dual Core N3350 1.1GHz,4,1.9,672.287
Asus,Intel Core i5 7300HQ 2.5GHz,8,3,2498.832
Lenovo,Intel Core i5 7200U 2.5GHz,4,2.2,1329.336
HP,Intel Core i5 7200U 2.5GHz,4,1.32,1862.136
Acer,Intel Core i3 7130U 2.7GHz,4,3,1744.92
Lenovo,Intel Core i5 8250U 1.6GHz,8,1.75,2973.077
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,2.4,2315.016
Toshiba,Intel Core i5 6200U 2.3GHz,4,2.1,1603.728
HP,AMD A6-Series 9220 2.5GHz,4,1.86,983.016
Asus,Intel Core i7 8550U 1.8GHz,8,1.25,2927.736
HP,Intel Core M 6Y75 1.2GHz,8,0.97,5365.296
Asus,Intel Celeron Dual Core N3350 1.1GHz,4,2,916.416
MSI,Intel Core i7 7700HQ 2.8GHz,16,2.9,5405.256
Acer,Intel Core i3 6006U 2GHz,4,2.1,1190.808
Dell,Intel Core i7 7700HQ 2.8GHz,16,2.56,3328.029
Dell,Intel Core i7 7700HQ 2.8GHz,8,2.62,2394.936
Lenovo,Intel Core i5 7200U 2.5GHz,4,1.9,1326.672
MSI,Intel Core i7 7700HQ 2.8GHz,16,2.8,5034.96
HP,Intel Core i5 7500U 2.7GHz,4,1.48,2882.448
HP,Intel Core i5 8250U 1.6GHz,6,1.91,1649.016
Lenovo,Intel Core i3 7100U 2.4GHz,4,1.74,1675.656
Asus,Intel Core i5 8250U 1.6GHz,8,1.1,3503.16
Dell,Intel Core i7 8550U 1.8GHz,8,1.56,2794.536
Toshiba,Intel Core i3 6006U 2.2GHz,4,2.1,1190.808
Asus,AMD A9-Series 9420 3GHz,4,2.03,1073.592
Acer,Intel Core i5 8250U 1.6GHz,4,3,2144.52
Dell,Intel Core i5 8250U 1.6GHz,8,2.13,1939.392
Lenovo,Intel Core i7 7700HQ 2.8GHz,16,2.5,2874.456
Acer,Intel Celeron Dual Core N3350 1.1GHz,4,2.1,927.072
MSI,Intel Core i7 7700HQ 2.8GHz,16,2.4,4792.536
Acer,Intel Pentium Quad Core N4200 1.1GHz,4,2.1,968.3906
Dell,Intel Core i7 7700HQ 2.8GHz,8,2.56,2825.145
Acer,Intel Core i5 8250U 1.6GHz,8,3,2275.056
HP,Intel Core i5 8250U 1.6GHz,4,1.49,2008.656
Huawei,Intel Core i5 7200U 2.5GHz,8,1.05,3593.736
HP,Intel Core i5 7200U 2.5GHz,6,2.71,1862.136
Lenovo,AMD A6-Series 9220 2.9GHz,4,2.2,823.176
Toshiba,Intel Core i3 7100U 2.4GHz,4,2,1302.696
HP,Intel Core i5 8250U 1.6GHz,8,2.5,2458.872
Dell,Intel Core i3 7100U 2.4GHz,8,2.3,1222.776
Acer,Intel Core i3 6006U 2GHz,4,2.1,1196.136
MSI,Intel Core i7 6920HQ 2.9GHz,32,4.4,7456.536
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.90,2165.832
HP,Intel Core i5 8250U 1.6GHz,8,1.29,3993.336
Dell,Intel Core i7 8550U 1.8GHz,16,2.02,2794.536
Dell,Intel Core i5 8250U 1.6GHz,8,1.23,3726.936
Lenovo,Intel Core i7 8550U 1.8GHz,16,1.4,4925.736
Toshiba,Intel Core i5 7200U 2.5GHz,8,2.0,2112.552
Xiaomi,Intel Core i5 8250U 1.6GHz,8,1.95,3194.136
Dell,Intel Core i7 8550U 1.8GHz,16,2.77,4126.536
Dell,Intel Core i7 7700HQ 2.8GHz,16,2.06,6385.608
Lenovo,Intel Core i5 7300HQ 2.5GHz,8,2.4,2075.256
Acer,Intel Core i5 7Y54 1.2GHz,8,1.12,2634.696
Dell,Intel Core i7 8550U 1.8GHz,8,2.8,2890.44
Lenovo,Intel Core i7 7500U 2.7GHz,16,1.42,7523.136
Vero,Intel Celeron Dual Core N3350 1.1GHz,4,1.3,692.64
Xiaomi,Intel Core i5 7200U 2.5GHz,8,1.3,2663.734
Lenovo,Intel Core i5 8250U 1.6GHz,8,2.8,1859.472
Dell,Intel Core i7 8550U 1.8GHz,8,1.62,2235.096
HP,Intel Core i5 8250U 1.6GHz,8,2.5,2434.896
Razer,Intel Core i7 7820HK 2.9GHz,32,3.49,16247.74
HP,Intel Core i5 8250U 1.6GHz,8,1.49,2554.776
HP,Intel Core i7 7700HQ 2.8GHz,16,3.35,3673.656
HP,Intel Core i7 8550U 1.8GHz,8,2.5,2783.88
Dell,Intel Core i7 7700HQ 2.8GHz,16,2.65,4915.08
Lenovo,Intel Core i5 6200U 2.3GHz,4,2.1,1313.352
Acer,Intel Core i7 7500U 2.7GHz,8,2.23,1976.688
Lenovo,Intel Core i7 7700HQ 2.8GHz,16,3.2,4659.336
Dell,Intel Xeon E3-1505M V6 3GHz,16,2.8,8138.52
Lenovo,Intel Core i7 7700HQ 2.8GHz,16,2.4,3724.272
Dell,Intel Core i3 7100U 2.4GHz,6,2.3,1169.496
Dell,Intel Core i7 8550U 1.8GHz,8,1.21,5192.136
Dell,Intel Core i7 8550U 1.8GHz,8,1.2,3860.136
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.2,1590.408
Acer,Intel Core i7 7700HQ 2.8GHz,8,2.4,2075.256
Asus,Intel Core i7 7700HQ 2.8GHz,16,2.9,3748.248
HP,Intel Core i3 6006U 2GHz,4,2.1,929.736
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.2,1462.536
Huawei,Intel Core i7 7500U 2.7GHz,8,1.05,3993.336
Dell,Intel Core i7 8550U 1.8GHz,8,1.4,2482.528
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.8,1569.096
HP,Intel Core i7 8550U 1.8GHz,8,1.63,2746.584
Dell,Intel Core i5 8250U 1.6GHz,8,1.6,3060.936
Dell,Intel Core i7 8550U 1.8GHz,16,1.62,3407.256
Dell,Intel Core i5 8250U 1.6GHz,8,2.2,1804.46
Lenovo,Intel Core i5 8250U 1.6GHz,8,1.74,2394.936
Toshiba,Intel Core i7 6500U 2.5GHz,8,1.2,3631.032
HP,Intel Core i5 8250U 1.6GHz,8,2.1,2115.216
Dell,Intel Core i7 7700HQ 2.8GHz,16,4.42,6543.69
Acer,Intel Core i7 7500U 2.7GHz,8,2.2,2216.448
Dell,Intel Core i7 7500U 2.7GHz,16,2.3,2288.403
Asus,Intel Core i5 7200U 2.5GHz,8,2,2048.616
Asus,Intel Core i5 7200U 2.5GHz,8,2.69,2373.624
HP,Intel Core i7 7500U 2.7GHz,8,1.9,3380.616
Asus,Intel Core i3 7100U 2.4GHz,4,2.37,1062.909
HP,AMD E-Series 9000e 1.5GHz,4,2.1,879.12
Lenovo,Intel Core i7 7700HQ 2.8GHz,16,3.2,3993.336
Dell,Intel Core i5 7200U 2.5GHz,8,1.6,2288.376
Acer,Intel Core i5 6200U 2.3GHz,8,1.6,1835.496
Dell,Intel Core i7 7500U 2.7GHz,16,2.36,2394.936
Acer,Intel Core i3 6006U 2GHz,4,2.1,1038.96
Asus,AMD A10-Series A10-9620P 2.5GHz,4,2.2,1531.8
Asus,Intel Core i7 7820HK 2.9GHz,32,4.7,10362.96
Acer,Intel Core i5 7300HQ 2.5GHz,8,2.5,2253.744
Lenovo,Intel Core i3 6006U 2GHz,8,2.2,1569.096
Asus,Intel Core i7 8550U 1.8GHz,8,2.1,3050.28
Asus,Intel Core i7 7500U 2.7GHz,8,2.69,2368.296
Dell,Intel Core i5 7300HQ 2.5GHz,8,2.56,2341.656
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.38,2874.456
Dell,Intel Core i7 8550U 1.8GHz,8,2.2,2624.04
HP,Intel Core i5 7200U 2.5GHz,8,2.04,1489.176
Asus,Intel Core i7 7820HK 2.9GHz,16,3.6,7989.336
HP,Intel Core i5 8250U 1.6GHz,4,1.49,1798.2
Apple,Intel Core i5 3.1GHz,8,1.37,5434.56
Dell,Intel Core i7 8550U 1.8GHz,8,2.08,2181.816
Asus,Intel Core i7 7700HQ 2.8GHz,16,4.3,4792.536
Asus,AMD A9-Series 9420 3GHz,4,1.68,1249.416
Lenovo,Intel Core i7 8550U 1.8GHz,8,1.37,4925.736
Acer,Intel Core i3 7130U 2.7GHz,4,3,1870.128
Dell,Intel Core i5 8250U 1.6GHz,8,1.41,2528.136
HP,AMD A6-Series A6-9220 2.5GHz,8,1.91,1187.878
HP,Intel Core i7 8550U 1.8GHz,16,2.9,2821.176
MSI,Intel Core i7 7700HQ 2.8GHz,16,4.14,6657.336
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,2,4526.136
Dell,Intel Core i7 8550U 1.8GHz,8,2.8,3042.288
Lenovo,Intel Core i3 6006U 2GHz,4,2.2,1182.816
HP,Intel Core i5 8250U 1.6GHz,4,2.1,1923.408
Dell,Intel Core i5 7200U 2.5GHz,4,2.18,1750.248
Dell,Intel Core i5 7200U 2.5GHz,8,2.24,1505.16
Dell,Intel Core i5 8250U 1.6GHz,8,2.67,2128.536
Asus,Intel Core i7 8550U 1.8GHz,8,1.1,3993.336
Lenovo,Intel Core i5 7200U 2.5GHz,4,2.2,1244.088
HP,Intel Core i7 8550U 1.8GHz,8,2.5,2711.952
Lenovo,Intel Core i7 8550U 1.8GHz,8,2.05,2344.32
Apple,Intel Core i5 2.9GHz,8,1.37,5218.51
Asus,AMD Ryzen 1700 3GHz,16,3.2,4126.536
Dell,Intel Core i7 8550U 1.8GHz,8,2.14,1958.226
Lenovo,Intel Core i7 6600U 2.6GHz,16,1.36,6657.336
Toshiba,Intel Core i7 6500U 2.5GHz,8,2.2,2163.168
Dell,Intel Core i7 7500U 2.7GHz,12,2.3,1899.618
Dell,Intel Core i7 8550U 1.8GHz,8,2.8,2927.736
Acer,Intel Core i7 8550U 1.8GHz,8,2.2,1984.68
Lenovo,Intel Core i3 6006U 2GHz,4,2.8,1302.696
Lenovo,Intel Core i7 8550U 1.8GHz,8,2.8,2261.736
Lenovo,Intel Core i7 7500U 2.7GHz,6,2.8,2288.376
Dell,Intel Core i3 6006U 2.0GHz,4,2.25,1140.192
Lenovo,Intel Core i5 7300HQ 2.5GHz,8,2.5,2208.456
Lenovo,Intel Core i5 7200U 2.5GHz,6,2.2,1542.456
Acer,Intel Core i7 8550U 1.8GHz,8,3,2533.464
Acer,Intel Core i7 7500U 2.7GHz,12,2.15,1755.576
Lenovo,Intel Core i7 7500U 2.7GHz,8,1.95,2922.408
Asus,Intel Core i5 7200U 2.5GHz,8,1.7,2602.728
Lenovo,Intel Core i7 7700HQ 2.8GHz,16,2.5,3140.856
Lenovo,Intel Core i7 7500U 2.7GHz,8,2.2,1755.603
Acer,Intel Celeron Dual Core 3205U 1.5GHz,2,2.19,530.136
Asus,Intel Core i7 7700HQ 2.8GHz,8,3,3162.168
HP,Intel Core i3 6006U 2GHz,8,2.54,1302.696
Dell,Intel Core i7 7700HQ 2.8GHz,8,2,4872.456
Lenovo,Intel Core i5 8250U 1.6GHz,8,2.05,1968.696
Lenovo,Intel Core i7 7700HQ 2.8GHz,8,3.2,3460.536
Acer,Intel Core i7 7700HQ 2.8GHz,8,2.5,2608.056
Dell,Intel Core i7 7820HQ 2.9GHz,16,3.42,7685.267
Lenovo,AMD A10-Series 9600P 2.4GHz,6,2.4,1329.336
Asus,Intel Core i7 7500U 2.7GHz,16,1.63,3910.752
Asus,Intel Core i3 7100U 2.4GHz,4,1.3,1355.976
Asus,Intel Core i7 7700HQ 2.8GHz,16,2.9,5653.008
Lenovo,Intel Core i5 7200U 2.5GHz,6,2.8,1728.936
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.2,1462.536
Asus,Intel Core i7 7700HQ 2.8GHz,8,2.5,3369.96
Lenovo,Intel Pentium Quad Core N4200 1.1GHz,4,2.2,959.0134
HP,Intel Core i7 7600U 2.8GHz,16,1.28,5261.4
Toshiba,Intel Core i7 6500U 2.5GHz,8,2.2,2778.552
Lenovo,Intel Core i5 7200U 2.5GHz,8,2.3,2181.816
HP,Intel Core i3 6006U 2GHz,4,1.86,1249.416
Lenovo,Intel Core i5 7200U 2.5GHz,8,1.1,2661.336
Dell,Intel Core i7 8550U 1.8GHz,16,1.21,6657.336
MSI,Intel Core i7 7700HQ 2.8GHz,16,2.8,5591.736
Acer,AMD A8-Series 7410 2.2GHz,8,2.23,1249.416
Asus,Intel Celeron Dual Core N3350 1.1GHz,2,1.1,732.6
Dell,Intel Core i5 8250U 1.6GHz,8,2.33,2248.416
HP,Intel Core i7 8550U 1.8GHz,16,1.29,6524.136
Lenovo,Intel Celeron Dual Core 3855U 1.6GHz,4,1.45,1225.174
HP,Intel Core i5 7200U 2.5GHz,8,1.95,2610.72
Acer,Intel Pentium Quad Core N3710 1.6GHz,4,1.4,1292.04
HP,Intel Core i7 7500U 2.7GHz,8,1.48,3441.888
Lenovo,Intel Core i5 7200U 2.5GHz,4,2.79,1569.096
Asus,Intel Core i7 7500U 2.7GHz,8,2,2914.416
HP,Intel Core i7 8550U 1.8GHz,8,2.1,2402.928
Acer,AMD A12-Series 9720P 2.7GHz,8,2.2,1755.576
Lenovo,Intel Celeron Dual Core N3350 1.1GHz,4,1.44,777.888
Acer,Intel Core i5 7200U 2.5GHz,6,2.23,1462.536
Asus,Intel Core i7 7500U 2.7GHz,8,1.7,2796.934
HP,Intel Core i7 7500U 2.7GHz,8,1.26,3556.44
Dell,Intel Core i7 7700HQ 2.8GHz,32,2.06,7030.296
MSI,Intel Core i7 7700HQ 2.8GHz,8,2.7,3194.136
Toshiba,Intel Core i5 7200U 2.5GHz,8,2.0,2512.152
Asus,Intel Core i7 7500U 2.7GHz,8,2,3553.776
Lenovo,Intel Core i3 6006U 2GHz,4,1.85,1196.136
Asus,Intel Core i7 7700HQ 2.8GHz,8,2.5,2661.336
HP,Intel Core i5 7300U 2.6GHz,8,1.48,3377.952
Dell,Intel Core i5 8250U 1.6GHz,8,1.9,2794.536
HP,Intel Core i5 7200U 2.5GHz,8,1.84,3047.616
Asus,Intel Celeron Dual Core N3350 1.1GHz,4,2,732.5734
Dell,Intel Core i5 8250U 1.6GHz,8,2,3044.286
Dell,Intel Celeron Dual Core N3060 1.6GHz,4,2.2,732.3336
